id_dep;nome;partido;UF;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9
74173;"EduardoCunha";pmdb;RJ;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art. 17;art.7;3 t. 14 ar 17;art.7;6 t. 17;7 art. 17;art. 17;art. 17
74075;"ElcioneBarbalho";pmdb;PA;sim;não votou;sim;sim;sim;sim;não votou;não votou;não votou;não votou;sim;sim;não votou;não votou;não;não;não;não;sim
171623;"FabioReis";pmdb;SE;sim;sim;sim;não;sim;não;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
163831;"FernandoJordão";pmdb;RJ;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
141434;"FlavianoMelo";pmdb;AC;sim;sim;sim;não votou;sim;sim;não;não;não votou;não;não votou;não votou;não votou;sim;sim;sim;sim;sim;sim
74374;"GeraldoResende";pmdb;MS;não;sim;sim;sim;não votou;sim;sim;não;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim
73772;"HermesParcianello";pmdb;PR;sim;sim;sim;sim;não;não;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;não
178884;"HildoRocha";pmdb;MA;sim;sim;sim;sim;não votou;sim;não;sim;não;sim;sim;não;sim;sim;sim;sim;sim;sim;sim
160674;"HugoMotta";pmdb;PB;sim;sim;sim;não votou;não votou;sim;sim;não;não votou;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
131943;"JarbasVasconcelos";pmdb;PE;não;sim;sim;não;não;não;sim;sim;sim;não;não;sim;não votou;sim;não;não;sim;sim;sim
178839;"JéssicaSales";pmdb;AC;não votou;sim;não votou;não votou;sim;sim;sim;não;não votou;sim;sim;não votou;não votou;sim;sim;sim;não votou;não votou;não votou
160573;"JoãoArruda";pmdb;PR;sim;sim;sim;não;não votou;não;sim;sim;sim;não;não;não votou;sim;não;não;não;sim;não;não
112437;"JoãoMarceloSouza";pmdb;MA;sim;sim;sim;não votou;sim;sim;não votou;não votou;não votou;não votou;sim;sim;sim;abstção;não;não;sim;sim;sim
131966;"JoséFogaça";pmdb;RS;não;não;sim;não votou;não;não;não;não;sim;não;sim;sim;sim;sim;não;não;não;não;sim
74079;"JoséPriante";pmdb;PA;sim;não votou;não votou;sim;sim;sim;sim;não;não votou;não;não votou;não votou;sim;sim;não votou;não votou;7 não votou;não votou;não votou
114941;"JosiNunes";pmdb;TO;sim;sim;sim;sim;sim;não;sim;não;sim;sim;sim;sim;sim;sim;não;não;sim;sim;sim
178894;"LaudivioCarvalho";pmdb;MG;sim;sim;sim;não;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim
141562;"LeloCoimbra";pmdb;ES;não;não votou;sim;sim;sim;não;sim;sim;sim;sim;não;não;sim;sim;não;não;sim;não;sim
