"nome";"id_dept";"partido";"UF";"votacao_PL_10903"
Marcos Abrão;178880;PPS;GO;Sim
Orlando Silva;178987;PCdoB;SP;Sim
Renato Molling;141527;PP ;RS;Abstenção
Renzo Braz;160654;PP ;MG;Sim
Rodrigo de Castro;141531;PSDB ;MG;Sim
Márcio Marinho;150418;PRB;BA;Sim
Carlos Andrade;178958;PHS;RR;Sim
Paulo Foletto;160517;PSB;ES;Sim
Nilton Capixaba;74359;PTB;RO;Sim
Fabio Garcia;178905;PSB;MT;Sim
Rodrigo Maia;74693;DEM;RJ;Não
Leonardo Quintão;141482;PMDB ;MG;Sim
Alice Portugal;74057;PCdoB;BA;Sim
Alberto Fraga;73579;DEM;DF;Sim
José Mentor;74275;PT ;SP;Sim
Samuel Moreira;178990;PSDB ;SP;Sim
Jerônimo Goergen;160570;PP ;RS;Sim
Andres Sanchez;178974;PT ;SP;Sim
Laudivio Carvalho;178894;PMDB ;MG;Sim
Rubens Otoni;74371;PT ;GO;Sim
Walter Ihoshi;141560;PSD;SP;Sim
Marcelo Aguiar;160660;DEM;SP;Não
Wadson Ribeiro;137853;PCdoB;MG;Sim
Edinho Bez;73793;PMDB ;SC;Sim
Misael Varella;178895;DEM;MG;Não
Miro Teixeira;74862;PROS ;RJ;Sim
Beto Rosado;178948;PP ;RN;Sim
Edio Lopes;141417;PMDB ;RR;Sim
Lincoln Portela;74585;PR ;MG;Sim
Alceu Moreira;160559;PMDB ;RS;Sim
Chico Lopes;141440;PCdoB;CE;Sim
Pedro Chaves;74812;PMDB ;GO;Sim
Daniel Vilela;144523;PMDB ;GO;Sim
Júlio Cesar;74317;PSD;PI;Sim
Luiz Lauro Filho;178982;PSB;SP;Sim
Júlia Marinho;67312;PSC;PA;Sim
Paulo Freire;160558;PR ;SP;Sim
Heitor Schuch;178964;PSB;RS;Sim
Dâmina Pereira;178892;PMN;MG;Sim
Givaldo Vieira;178872;PT ;ES;Sim
Vicentinho Júnior;137070;PSB;TO;Sim
Veneziano Vital do Rêgo;178913;PMDB ;PB;Sim
Beto Faro;141335;PT ;PA;Sim
Erika Kokay;160575;PT ;DF;Sim
Heráclito Fortes;97707;PSB;PI;Sim
Moroni Torgan;74457;DEM;CE;Sim
Carlos Melles;74651;DEM;MG;Não
Jair Bolsonaro;74847;PP ;RJ;Sim
Sergio Souza;178933;PMDB ;PR;Sim
Ronaldo Nogueira;163321;PTB;RS;Sim
Jean Wyllys;160672;PSOL ;RJ;Sim
Hissa Abrahão;178849;PPS;AM;Sim
Lucio Mosquini;178954;PMDB ;RO;Sim
Keiko Ota;160659;PSB;SP;Sim
Tereza Cristina;178901;PSB;MS;Sim
Magda Mofatto;166402;PR ;GO;Sim
Luis Tibé;160510;PTdoB;MG;Sim
Bruno Covas;178976;PSDB ;SP;Sim
Benito Gama;74535;PTB;BA;Sim
Arnaldo Jordy;160602;PPS;PA;Sim
Ezequiel Fonseca;178904;PP ;MT;Sim
Daniel Coelho;178916;PSDB ;PE;Sim
Eli Corrêa Filho;160532;DEM;SP;Não
João Daniel;178970;PT ;SE;Sim
Wilson Filho;160636;PTB;PB;Sim
Ronaldo Benedet;160515;PMDB ;SC;Sim
Kaio Maniçoba;178918;PHS;PE;Sim
Tenente Lúcio;178898;PSB;MG;Sim
Marcelo Matos;76287;PDT;RJ;Sim
Sandro Alex;160621;PPS;PR;Sim
Mendonça Filho;74428;DEM;PE;Não
Maria Helena;64960;PSB;RR;Sim
André Fufuca;178882;PEN;MA;Sim
Benjamin Maranhão;74040;Solidaried;PB;Sim
Luis Carlos Heinze;73483;PP ;RS;Sim
Alfredo Nascimento;178846;PR ;AM;Sim
Renata Abreu;178989;PTN;SP;Sim
Cabo Sabino;178865;PR ;CE;Sim
Rômulo Gouveia;141536;PSD;PB;Sim
