nome;cod_dept;partido;UF;votacao_PL_124
Arthur Oliveira Maia;160600;Solidaried;BA;Sim
José Rocha;74554;PR ;BA;Sim
Celso Russomanno;73441;PRB;SP;Sim
Toninho Pinheiro;160611;PP ;MG;Sim
Sibá Machado;160613;PT ;AC;Sim
Bilac Pinto;141513;PR ;MG;Sim
Cícero Almeida;178841;PRTB;AL;Sim
José Otávio Germano;74395;PP ;RS;Sim
Andre Moura;160543;PSC;SE;Sim
Lobbe Neto;74277;PSDB;SP;Sim
Assis do Couto;74378;PT ;PR;Sim
Pastor Eurico;160642;PSB;PE;Sim
Danilo Forte;62881;PMDB;CE;Sim
Paulo Azi;178860;DEM;BA;Sim
Zenaide Maia;178949;PR ;RN;Sim
Jony Marcos;178971;PRB;SE;Sim
Glauber Braga;152605;PSOL;RJ;Sim
Mara Gabrilli;160565;PSDB;SP;Sim
Dagoberto;141411;PDT;MS;Sim
Silas Câmara;74356;PSD;AM;Sim
Leonardo Monteiro;74156;PT ;MG;Sim
Major Olimpio;178826;PDT;SP;Sim
Valadares Filho;141384;PSB;SE;Sim
Luiz Nishimori;162332;PR ;PR;Sim
João Derly;178965;PCdoB ;RS;Sim
Celso Maldaner;141405;PMDB;SC;Sim
Fábio Sousa;178877;PSDB;GO;Sim
Jutahy Junior;74570;PSDB;BA;Sim
Toninho Wandscheer;178934;PT ;PR;Sim
Valmir Assunção;160610;PT ;BA;Sim
Walter Alves;178952;PMDB;RN;Sim
Nilson Pinto;74352;PSDB;PA;Sim
Hermes Parcianello;73772;PMDB;PR;Sim
Zeca do Pt;178902;PT ;MS;Sim
Tadeu Alencar;178922;PSB;PE;Sim
Alex Canziani;73458;PTB;PR;Sim
Nelson Marchezan Junior;160567;PSDB;RS;Sim
Dr. João;178940;PR ;RJ;Sim
Lucio Vieira Lima;94931;PMDB;BA;Sim
Marcos Rotta;178850;PMDB;AM;Sim
Junior Marreca;178885;PEN;MA;Sim
Augusto Carvalho;73655;Solidaried;DF;Sim
Capitão Augusto;178829;PR ;SP;Sim
Vitor Lippi;178992;PSDB;SP;Sim
Jefferson Campos;74273;PSD;SP;Sim
Marco Tebaldi;160536;PSDB;SC;Sim
Arthur Virgílio Bisneto;178847;PSDB;AM;Sim
Margarida Salomão;171619;PT ;MG;Sim
Félix Mendonça Júnior;160666;PDT;BA;Sim
Marcos Abrão;178880;PPS;GO;Sim
Orlando Silva;178987;PCdoB ;SP;Sim
Uldurico Junior;178863;PTC;BA;Sim
Onyx Lorenzoni;74399;DEM;RS;Sim
Renato Molling;141527;PP ;RS;Sim
Beto Mansur;73437;PRB;SP;Sim
Renzo Braz;160654;PP ;MG;Sim
Rodrigo de Castro;141531;PSDB;MG;Sim
Paulo Foletto;160517;PSB;ES;Sim
João Campos;74366;PSDB;GO;Sim
Rogério Marinho;141535;PSDB;RN;Sim
Rodrigo Maia;74693;DEM;RJ;Sim
Aureo;160512;Solidaried;RJ;Sim
Leonardo Quintão;141482;PMDB;MG;Sim
Mário Heringer;74158;PDT;MG;Sim
Lelo Coimbra;141562;PMDB;ES;Sim
Alice Portugal;74057;PCdoB ;BA;Sim
Marcos Rogério;167722;PDT;RO;Sim
Alberto Fraga;73579;DEM;DF;Sim
