nome;cod_dept;partido;UF;votacao_PL13
Sóstenes Cavalcante;178947;PSD;RJ;Sim
Deley;74172;PTB;RJ;Sim
Lúcio Vale;141484;PR ;PA;Sim
Aguinaldo Ribeiro;160527;PP ;PB;Sim
Fábio Mitidieri;178969;PSD;SE;Não
Átila Lins;74090;PSD;AM;Sim
Cabuçu Borges;105112;PMDB;AP;Sim
Rubens Bueno;73466;PPS;PR;Sim
Júlio Delgado;73586;PSB;MG;Sim
Gonzaga Patriota;74419;PSB;PE;Sim
Zeca Dirceu;160592;PT ;PR;Sim
Saraiva Felipe;74762;PMDB;MG;Sim
José Carlos Aleluia;74553;DEM;BA;Sim
Ronaldo Lessa;178845;PDT;AL;Sim
Marcelo Belinati;178932;PP ;PR;Sim
Sandes Júnior;74372;PP ;GO;Sim
Silas Freire;187008;PR ;PI;Sim
Roberto Freire;73805;PPS;SP;Sim
Carlos Eduardo Cadoca;74474;PCdoB ;PE;Sim
Osmar Bertoldi;180545;DEM;PR;Sim
José Fogaça;131966;PMDB;RS;Sim
Antonio Carlos Mendes Thame;73584;PSDB;SP;Sim
Fernando Torres;160676;PSD;BA;Sim
Davidson Magalhães;101309;PCdoB ;BA;Sim
Augusto Coutinho;160665;Solidaried;PE;Sim
Ademir Camilo;133374;PROS;MG;Sim
Silas Brasileiro;74765;PMDB;MG;Sim
Walney Rocha;160631;PTB;RJ;Sim
Marquinho Mendes;181315;PMDB;RJ;Sim
Mauro Pereira;124411;PMDB;RS;Sim
Merlong Solano;188097;PT ;PI;Sim
João Fernando Coutinho;178917;PSB;PE;Sim
Antônio Jácome;178950;PMN;RN;Sim
Eduardo Barbosa;74655;PSDB;MG;Sim
Simão Sessim;73424;PP ;RJ;Sim
Jorge Tadeu Mudalen;73535;DEM;SP;Sim
Ricardo Teobaldo;178920;PTB;PE;Sim
Marcelo Squassoni;118594;PRB;SP;Sim
Carlos Marun;178900;PMDB;MS;Sim
Marcelo Aro;146788;PHS;MG;Sim
Luiz Carlos Busato;141485;PTB;RS;Sim
Domingos Sávio;160758;PSDB;MG;Sim
Felipe Bornier;141430;PSD;RJ;Sim
Adail Carneiro;178864;PHS;CE;Sim
Roberto Balestra;73674;PP ;GO;Sim
Sérgio Reis;178991;PRB;SP;Sim
Edmilson Rodrigues;134812;PSOL;PA;Sim
Juscelino Filho;178886;PRP;MA;Sim
Baleia Rossi;178975;PMDB;SP;Sim
Roberto Britto;141529;PP ;BA;Sim
Antonio Brito;160553;PTB;BA;Sim
Luiz Fernando Faria;141487;PP ;MG;Sim
Gabriel Guimarães;129037;PT ;MG;Sim
Paulo Abi-Ackel;141516;PSDB;MG;Sim
Pedro Uczai;160604;PT ;SC;Sim
Jorge Côrte Real;160572;PTB;PE;Sim
Carlos Henrique Gaguim;178993;PMDB;TO;Sim
Mariana Carvalho;178956;PSDB;RO;Sim
Zeca Cavalcanti;178923;PTB;PE;Sim
Pompeo de Mattos;73486;PDT;RS;Sim
Adilton Sachetti;178903;PSB;MT;Sim
Conceição Sampaio;178848;PP ;AM;Sim
Josué Bengtson;74351;PTB;PA;Sim
Marco Maia;133373;PT ;RS;Não
Paulo Teixeira;141488;PT ;SP;Sim
Rodrigo Martins;178926;PSB;PI;Sim
Heuler Cruvinel;160596;PSD;GO;Sim
Carlos Manato;74163;Solidaried;ES;Sim
Silvio Costa;4930;PSC;PE;Sim
Fernando Jordão;163831;PMDB;RJ;Sim
Mandetta;160633;DEM;MS;Sim
Hiran Gonçalves;178959;PMN;RR;Sim
Valtenir Pereira;141552;PROS;MT;Sim
Evandro Gussi;178828;PV ;SP;Sim
André Abdon;178831;PRB;AP;Sim
Dilceu Sperafico;73768;PP ;PR;Sim
Domingos Neto;143632;PROS;CE;Sim
Chico Alencar;74171;PSOL;RJ;Sim
Bohn Gass;160538;PT ;RS;Sim
Hildo Rocha;178884;PMDB;MA;Sim
Marinha Raupp;74177;PMDB;RO;Sim
Clarissa Garotinho;178939;PR ;RJ;Sim
Marcelo Castro;74460;PMDB;PI;Sim
Benedita da Silva;73701;PT ;RJ;Sim
Moema Gramacho;178859;PT ;BA;Sim
Arnon Bezerra;74291;PTB;CE;Sim
Bruna Furlan;160589;PSDB;SP;Sim
Elmar Nascimento;178854;DEM;BA;Sim
Moses Rodrigues;178997;PPS;CE;Sim
Ivan Valente;73531;PSOL;SP;Sim
Paulo Pimenta;74400;PT ;RS;Sim
Diego Garcia;178929;PHS;PR;Sim
Damião Feliciano;74467;PDT;PB;Sim
Nilson Leitão;166401;PSDB;MT;Sim
Eros Biondini;160640;PTB;MG;Sim
Claudio Cajado;74537;DEM;BA;Sim
Celso Jacob;73568;PMDB;RJ;Sim
Flávia Morais;160598;PDT;GO;Sim
Ana Perugini;178973;PT ;SP;Sim
João Carlos Bacelar;141458;PR ;BA;Sim
Padre João;160556;PT ;MG;Sim
Missionário José Olimpio;160561;PP ;SP;Sim
Leônidas Cristino;74299;PROS;CE;Sim
Pedro Vilela;178844;PSDB;AL;Sim
Celso Russomanno;73441;PRB;SP;Sim
Carlos Bezerra;141401;PMDB;MT;Sim
Toninho Pinheiro;160611;PP ;MG;Sim
Marcon;160535;PT ;RS;Sim
Bilac Pinto;141513;PR ;MG;Sim
José Otávio Germano;74395;PP ;RS;Sim
Lobbe Neto;74277;PSDB;SP;Sim
Assis do Couto;74378;PT ;PR;Sim
Pastor Eurico;160642;PSB;PE;Sim
Professor Victório Galli;148134;PSC;MT;Sim
Iracema Portella;67138;PP ;PI;Sim
Danilo Forte;62881;PMDB;CE;Sim
Paulo Azi;178860;DEM;BA;Sim
Zenaide Maia;178949;PR ;RN;Sim
Simone Morgado;178911;PMDB;PA;Sim
Jony Marcos;178971;PRB;SE;Sim
Glauber Braga;152605;PSB;RJ;Sim
Silas Câmara;74356;PSD;AM;Sim
Leonardo Monteiro;74156;PT ;MG;Sim
Jéssica Sales;178839;PMDB;AC;Sim
Marcelo Álvaro Antônio;179000;PRP;MG;Sim
Major Olimpio;178826;PDT;SP;Não
Valdir Colatto;74010;PMDB;SC;Não
Luciano Ducci;178931;PSB;PR;Sim
Valadares Filho;141384;PSB;SE;Sim
Weverton Rocha;167493;PDT;MA;Sim
João Derly;178965;PCdoB ;RS;Sim
Celso Maldaner;141405;PMDB;SC;Sim
Jorge Solla;178857;PT ;BA;Sim
Fábio Sousa;178877;PSDB;GO;Sim
Toninho Wandscheer;178934;PT ;PR;Sim
Valmir Assunção;160610;PT ;BA;Sim
Walter Alves;178952;PMDB;RN;Sim
Nilson Pinto;74352;PSDB;PA;Sim
Anderson Ferreira;160551;PR ;PE;Sim
Hermes Parcianello;73772;PMDB;PR;Sim
Zeca do Pt;178902;PT ;MS;Sim
Tadeu Alencar;178922;PSB;PE;Sim
Alex Canziani;73458;PTB;PR;Sim
Nelson Marchezan Junior;160567;PSDB;RS;Sim
Dr. João;178940;PR ;RJ;Sim
Lucio Vieira Lima;94931;PMDB;BA;Sim
Marcos Rotta;178850;PMDB;AM;Sim
Junior Marreca;178885;PEN;MA;Sim
Augusto Carvalho;73655;Solidaried;DF;Sim
Capitão Augusto;178829;PR ;SP;Não
Luiz Cláudio;178955;PR ;RO;Sim
Alexandre Valle;178936;PRP;RJ;Sim
Ronaldo Martins;122466;PRB;CE;Sim
Vitor Lippi;178992;PSDB;SP;Sim
Marco Tebaldi;160536;PSDB;SC;Sim
Arthur Virgílio Bisneto;178847;PSDB;AM;Sim
Félix Mendonça Júnior;160666;PDT;BA;Sim
Marcos Abrão;178880;PPS;GO;Sim
Orlando Silva;178987;PCdoB ;SP;Sim
Uldurico Junior;178863;PTC;BA;Sim
Eliziane Gama;178883;PPS;MA;Sim
Onyx Lorenzoni;74399;DEM;RS;Sim
Renato Molling;141527;PP ;RS;Sim
Renzo Braz;160654;PP ;MG;Sim
Carlos Andrade;178958;PHS;RR;Sim
Paulo Foletto;160517;PSB;ES;Sim
Nilton Capixaba;74359;PTB;RO;Sim
Fabio Garcia;178905;PSB;MT;Sim
João Campos;74366;PSDB;GO;Sim
Rogério Marinho;141535;PSDB;RN;Sim
Rodrigo Maia;74693;DEM;RJ;Sim
Leonardo Quintão;141482;PMDB;MG;Sim
Mário Heringer;74158;PDT;MG;Sim
Jaime Martins;74665;PSD;MG;Sim
Lelo Coimbra;141562;PMDB;ES;Sim
Alice Portugal;74057;PCdoB ;BA;Sim
Marcos Rogério;167722;PDT;RO;Sim
Celso Pansera;72912;PMDB;RJ;Sim
José Mentor;74275;PT ;SP;Sim
Marinaldo Rosendo;178919;PSB;PE;Sim
Samuel Moreira;178990;PSDB;SP;Sim
Andres Sanchez;178974;PT ;SP;Sim
Max Filho;178827;PSDB;ES;Sim
Laudivio Carvalho;178894;PMDB;MG;Sim
Walter Ihoshi;141560;PSD;SP;Sim
Marcelo Aguiar;160660;DEM;SP;Sim
Wadson Ribeiro;137853;PCdoB ;MG;Sim
Fernando Monteiro;92699;PP ;PE;Sim
William Woo;141563;PV ;SP;Sim
Elizeu Dionizio;181316;Solidaried;MS;Sim
Fabio Reis;171623;PMDB;SE;Sim
Misael Varella;178895;DEM;MG;Sim
Sergio Vidigal;178874;PDT;ES;Sim
Professora Dorinha Seabra Rezende;160639;DEM;TO;Sim
Miro Teixeira;74862;PROS;RJ;Sim
Beto Rosado;178948;PP ;RN;Sim
Edio Lopes;141417;PMDB;RR;Sim
Lincoln Portela;74585;PR ;MG;Não
Alceu Moreira;160559;PMDB;RS;Sim
Chico Lopes;141440;PCdoB ;CE;Sim
Pedro Chaves;74812;PMDB;GO;Sim
Daniel Vilela;144523;PMDB;GO;Sim
Júlio Cesar;74317;PSD;PI;Sim
Rogério Peninha Mendonça;160651;PMDB;SC;Sim
César Messias;178838;PSB;AC;Sim
Júlia Marinho;67312;PSC;PA;Sim
Antonio Imbassahy;160530;PSDB;BA;Sim
