"nome";"id_deputado";"partido";"UF";"votacao_PL_1"
 Hiran Gonçalves;178959;PP ;RR;Sim
 Afonso Hamm;136811;PP ;RS;Sim
 Valtenir Pereira;141552;PMDB ;MT;Sim
 Evandro Gussi;178828;PV ;SP;Sim
 André Abdon;178831;PP ;AP;Sim
 Dilceu Sperafico;73768;PP ;PR;Sim
 Chico Alencar;74171;PSOL ;RJ;Sim
 Hildo Rocha;178884;PMDB ;MA;Sim
 Benedita da Silva;73701;PT ;RJ;Sim
 Rosangela Gomes;178945;PRB;RJ;Sim
 Moema Gramacho;178859;PT ;BA;Sim
 Arnon Bezerra;74291;PTB;CE;Sim
 Bruna Furlan;160589;PSDB ;SP;Sim
 Elmar Nascimento;178854;DEM;BA;Sim
 Ivan Valente;73531;PSOL ;SP;Sim
 Paulo Pimenta;74400;PT ;RS;Sim
 Diego Garcia;178929;PHS;PR;Sim
 Damião Feliciano;74467;PDT;PB;Sim
 Nilson Leitão;166401;PSDB ;MT;Sim
 Leandre;178832;PV ;PR;Sim
 Eros Biondini;160640;PROS ;MG;Sim
 Claudio Cajado;74537;DEM;BA;Sim
 Wadih Damous;189593;PT ;RJ;Sim
 Celso Jacob;73568;PMDB ;RJ;Sim
 Flávia Morais;160598;PDT;GO;Sim
 Ana Perugini;178973;PT ;SP;Sim
 João Carlos Bacelar;141458;PR ;BA;Sim
 Padre João;160556;PT ;MG;Sim
 Missionário José Olimpio;160561;DEM;SP;Sim
 Laerte Bessa;141478;PR ;DF;Sim
 Leônidas Cristino;74299;PDT;CE;Sim
 Pedro Vilela;178844;PSDB ;AL;Sim
 Arthur Oliveira Maia;160600;PPS;BA;Sim
 Carlos Bezerra;141401;PMDB ;MT;Sim
 Toninho Pinheiro;160611;PP ;MG;Sim
 Sibá Machado;160613;PT ;AC;Sim
 Bilac Pinto;141513;PR ;MG;Sim
 Andre Moura;160543;PSC;SE;Sim
 Lobbe Neto;74277;PSDB ;SP;Sim
 Assis do Couto;74378;PDT;PR;Sim
 Pastor Eurico;160642;PHS;PE;Sim
 Professor Victório Galli;148134;PSC;MT;Sim
 Iracema Portella;67138;PP ;PI;Sim
 Danilo Forte;62881;PSB;CE;Sim
 Paulo Azi;178860;DEM;BA;Sim
 Zenaide Maia;178949;PR ;RN;Sim
 Waldir Maranhão;141558;PP ;MA;Sim
 Wellington Roberto;74043;PR ;PB;Sim
 Jony Marcos;178971;PRB;SE;Sim
 Glauber Braga;152605;PSOL ;RJ;Sim
 Mara Gabrilli;160565;PSDB ;SP;Sim
 Dagoberto;141411;PDT;MS;Sim
 Silas Câmara;74356;PRB;AM;Sim
 Leonardo Monteiro;74156;PT ;MG;Sim
 Jéssica Sales;178839;PMDB ;AC;Sim
 Marcelo Álvaro Antônio;179000;PR ;MG;Sim
 Major Olimpio;178826;Solidaried;SP;Sim
 Valdir Colatto;74010;PMDB ;SC;Sim
 Julio Lopes;74253;PP ;RJ;Sim
 João Derly;178965;REDE ;RS;Sim
 Celso Maldaner;141405;PMDB ;SC;Sim
 Fábio Sousa;178877;PSDB ;GO;Sim
 Jutahy Junior;74570;PSDB ;BA;Sim
 Valmir Assunção;160610;PT ;BA;Sim
 Walter Alves;178952;PMDB ;RN;Sim
 Nilson Pinto;74352;PSDB ;PA;Sim
 Anderson Ferreira;160551;PR ;PE;Sim
 Hermes Parcianello;73772;PMDB ;PR;Sim
 Zeca do Pt;178902;PT ;MS;Sim
 Tadeu Alencar;178922;PSB;PE;Sim
 Alex Canziani;73458;PTB;PR;Sim
 Dr. João;178940;PR ;RJ;Sim
 Lucio Vieira Lima;94931;PMDB ;BA;Sim
 Marcos Rotta;178850;PMDB ;AM;Sim
 Junior Marreca;178885;PEN;MA;Sim
 Augusto Carvalho;73655;Solidaried;DF;Sim
 Capitão Augusto;178829;PR ;SP;Sim
 Luiz Cláudio;178955;PR ;RO;Sim
 Vitor Lippi;178992;PSDB ;SP;Sim
 Jefferson Campos;74273;PSD;SP;Sim
 Marco Tebaldi;160536;PSDB ;SC;Sim
 Arthur Virgílio Bisneto;178847;PSDB ;AM;Sim
 Félix Mendonça Júnior;160666;PDT;BA;Sim
 Irajá Abreu;81232;PSD;TO;Sim
 Marcos Abrão;178880;PPS;GO;Sim
 Orlando Silva;178987;PCdoB;SP;Sim
 Uldurico Junior;178863;PV ;BA;Sim
 Eliziane Gama;178883;REDE ;MA;Sim
 Onyx Lorenzoni;74399;DEM;RS;Sim
 Beto Mansur;73437;PRB;SP;Sim
 Rodrigo de Castro;141531;PSDB ;MG;Sim
 Márcio Marinho;150418;PRB;BA;Sim
 Cleber Verde;141408;PRB;MA;Sim
 Carlos Andrade;178958;PHS;RR;Sim
 Paulo Foletto;160517;PSB;ES;Sim
 Nilton Capixaba;74359;PTB;RO;Sim
 Fabio Garcia;178905;PSB;MT;Sim
 João Campos;74366;PRB;GO;Sim
 Rogério Marinho;141535;PSDB ;RN;Sim
 Rodrigo Maia;74693;DEM;RJ;Sim
 Aureo;160512;Solidaried;RJ;Sim
 Leonardo Quintão;141482;PMDB ;MG;Sim
 Mário Heringer;74158;PDT;MG;Sim
 Lelo Coimbra;141562;PMDB ;ES;Sim
 Alice Portugal;74057;PCdoB;BA;Sim
 Alberto Fraga;73579;DEM;DF;Sim
 José Mentor;74275;PT ;SP;Sim
 Marinaldo Rosendo;178919;PSB;PE;Sim
 Samuel Moreira;178990;PSDB ;SP;Sim
 Jerônimo Goergen;160570;PP ;RS;Sim
 Ricardo Izar;160655;PP ;SP;Sim
 Andres Sanchez;178974;PT ;SP;Sim
 Max Filho;178827;PSDB ;ES;Sim
 Laudivio Carvalho;178894;Solidaried;MG;Sim
 Rubens Otoni;74371;PT ;GO;Sim
 Marcelo Aguiar;160660;DEM;SP;Sim
 Wadson Ribeiro;137853;PCdoB;MG;Sim
 Fernando Monteiro;92699;PP ;PE;Sim
 Edinho Bez;73793;PMDB ;SC;Sim
 Elizeu Dionizio;181316;PSDB ;MS;Sim
 Franklin Lima;186775;PP ;MG;Sim
 Fabio Reis;171623;PMDB ;SE;Sim
 Misael Varella;178895;DEM;MG;Sim
 Sergio Vidigal;178874;PDT;ES;Sim
 Miro Teixeira;74862;REDE ;RJ;Sim
 Beto Rosado;178948;PP ;RN;Sim
 Lincoln Portela;74585;PRB;MG;Sim
 Rocha;178840;PSDB ;AC;Sim
 Chico Lopes;141440;PCdoB;CE;Sim
 Pedro Chaves;74812;PMDB ;GO;Sim
 João Gualberto;178856;PSDB ;BA;Sim
 Brunny;178999;PR ;MG;Sim
 Luiz Lauro Filho;178982;PSB;SP;Sim
 César Messias;178838;PSB;AC;Sim
 Júlia Marinho;67312;PSC;PA;Sim
 Paulo Freire;160558;PR ;SP;Sim
 Antonio Imbassahy;160530;PSDB ;BA;Sim
 Silvio Torres;73560;PSDB ;SP;Sim
 Givaldo Vieira;178872;PT ;ES;Sim
 Pepe Vargas;141445;PT ;RS;Sim
 Carlos Sampaio;74262;PSDB ;SP;Sim
 Beto Faro;141335;PT ;PA;Sim
 Erika Kokay;160575;PT ;DF;Sim
 Heráclito Fortes;97707;PSB;PI;Sim
 Moroni Torgan;74457;DEM;CE;Sim
 João Castelo;74445;PSDB ;MA;Sim
 Carlos Melles;74651;DEM;MG;Sim
 Marcio Alvino;178983;PR ;SP;Sim
 Jair Bolsonaro;74847;PSC;RJ;Sim
 Ronaldo Nogueira;163321;PTB;RS;Sim
 Jô Moraes;141503;PCdoB;MG;Sim
 Hissa Abrahão;178849;PDT;AM;Sim
 Lucio Mosquini;178954;PMDB ;RO;Sim
 Keiko Ota;160659;PSB;SP;Sim
 Tereza Cristina;178901;PSB;MS;Sim
 Lindomar Garçon;141483;PRB;RO;Sim
 Subtenente Gonzaga;177282;PDT;MG;Sim
 Luis Tibé;160510;PTdoB;MG;Sim
 Bruno Covas;178976;PSDB ;SP;Sim
 Paes Landim;74319;PTB;PI;Sim
 Benito Gama;74535;PTB;BA;Sim
 Flaviano Melo;141434;PMDB ;AC;Sim
 Marcus Pestana;159238;PSDB ;MG;Sim
 Arnaldo Jordy;160602;PPS;PA;Sim
 Stefano Aguiar;92776;PSD;MG;Sim
 Alexandre Serfiotis;178833;PMDB ;RJ;Sim
 Daniel Coelho;178916;PSDB ;PE;Sim
 Nilto Tatto;178986;PT ;SP;Sim
 João Daniel;178970;PT ;SE;Sim
 Wilson Filho;160636;PTB;PB;Sim
 Ronaldo Benedet;160515;PMDB ;SC;Sim
 Bonifácio de Andrada;74650;PSDB ;MG;Sim
 Abel Mesquita Jr.;178957;DEM;RR;Sim
 Cabo Daciolo;178938;PTdoB;RJ;Sim
 Kaio Maniçoba;178918;PMDB ;PE;Sim
 Tenente Lúcio;178898;PSB;MG;Sim
 José Carlos Araújo;74140;PR ;BA;Sim
 Arlindo Chinaglia;73433;PT ;SP;Sim
 Marcelo Matos;76287;PHS;RJ;Sim
 Mendonça Filho;74428;DEM;PE;Sim
 Maria Helena;64960;PSB;RR;Sim
 Giovani Cherini;160673;PDT;RS;Sim
 André Fufuca;178882;PP ;MA;Sim
 Benjamin Maranhão;74040;Solidaried;PB;Sim
 Luis Carlos Heinze;73483;PP ;RS;Sim
 Renata Abreu;178989;PTN;SP;Sim
 Cabo Sabino;178865;PR ;CE;Sim
 Rafael Motta;178951;PSB;RN;Sim
 Rômulo Gouveia;141536;PSD;PB;Sim
 Raul Jungmann;74048;PPS;PE;Sim
