deputado,partido,estado,voto,id_deputado
Ronaldo Martins,PRB,CE,SIM,122466
Ronaldo Nogueira,PTB,RS,SIM,163321
Rosangela Gomes,PRB,RJ,SIM,178945
Rubens Bueno,PPS,PR,SIM,73466
Rubens Otoni,PT,GO,NAO,74371
Rubens Pereira Júnior,PCdoB,MA,NAO,178887
Ságuas Moraes,PT,MT,NAO,160630
Samuel Moreira,PSDB,SP,SIM,178990
Sandro Alex,PSD,PR,SIM,160621
Saraiva Felipe,PMDB,MG,SIM,74762
Sarney Filho,PV,MA,SIM,74210
Sérgio Brito,PSD,BA,NAO,73808
Sérgio Moraes,PTB,RS,SIM,141542
Sérgio Reis,PRB,SP,SIM,178991
Sergio Souza,PMDB,PR,SIM,178933
Sergio Vidigal,PDT,ES,SIM,178874
Sergio Zveiter,PMDB,RJ,SIM,160612
Shéridan,PSDB,RR,SIM,178961
Sibá Machado,PT,AC,NAO,160613
Silas Câmara,PRB,AM,SIM,74356
Silvio Costa,PTdoB,PE,NAO,4930
Silvio Torres,PSDB,SP,SIM,73560
Simone Morgado,PMDB,PA,NAO,178911
Soraya Santos,PMDB,RJ,SIM,178946
Sóstenes Cavalcante,DEM,RJ,SIM,178947
Stefano Aguiar,PSD,MG,SIM,92776
Subtenente Gonzaga,PDT,MG,SIM,177282
Tadeu Alencar,PSB,PE,SIM,178922
Takayama,PSC,PR,SIM,74385
Tenente Lúcio,PSB,MG,SIM,178898
Tereza Cristina,PSB,MS,SIM,178901
Tia Eron,PRB,BA,SIM,178862
Tiririca,PR,SP,SIM,160976
Toninho Pinheiro,PP,MG,SIM,160611
Toninho Wandscheer,PROS,PR,SIM,178934
Uldurico Junior,PV,BA,SIM,178863
Valadares Filho,PSB,SE,SIM,141384
Valdir Colatto,PMDB,SC,SIM,74010
Valmir Assunção,PT,BA,NAO,160610
Valmir Prascidelli,PT,SP,NAO,113247
Valtenir Pereira,PMDB,MT,NAO,141552
Vanderlei Macris,PSDB,SP,SIM,141553
Vander Loubet,PT,MS,NAO,74376
Veneziano Vital do Rêgo,PMDB,PB,SIM,178913
Vicente Arruda,PDT,CE,NAO,74308
Vicentinho,PT,SP,NAO,74283
Vicentinho Júnior,PR,TO,NAO,137070
Victor Mendes,PSD,MA,SIM,178888
Vinicius Carvalho,PRB,SP,SIM,141555
Vitor Lippi,PSDB,SP,SIM,178992
Vitor Valim,PMDB,CE,SIM,178869
Wadih Damous,PT,RJ,NAO,189593
Waldenor Pereira,PT,BA,NAO,160569
Walter Alves,PMDB,RN,SIM,178952
Washington Reis,PMDB,RJ,SIM,160620
Weliton Prado,PMB,MG,SIM,160518
Wellington Roberto,PR,PB,NAO,74043
Weverton Rocha,PDT,MA,NAO,167493
Wolney Queiroz,PDT,PE,NAO,74439
Zeca Cavalcanti,PTB,PE,NAO,178923
Zeca Dirceu,PT,PR,NAO,160592
Zé Carlos,PT,MA,NAO,178889
Zé Geraldo,PT,PA,NAO,73931
Zenaide Maia,PR,RN,NAO,178949
Zé Silva,SD,MG,SIM,160632
