id_dep;deputado;IMPEACHMENT;nome
178932;Marcelo Belinati;SIM;MarceloBelinati
74460;Marcelo Castro;NAO;MarceloCastro
76287;Marcelo Matos;SIM;MarceloMatos
118594;Marcelo Squassoni;SIM;MarceloSquassoni
178983;Marcio Alvino;SIM;MarcioAlvino
133373;Marco Maia;NAO;MarcoMaia
160535;Marcon;NAO;Marcon
141500;Marcos Montes;SIM;MarcosMontes
178852;Marcos Reategui;SIM;MarcosReategui
178850;Marcos Rotta;SIM;MarcosRotta
178943;Marcos Soares;SIM;MarcosSoares
160536;Marco Tebaldi;SIM;MarcoTebaldi
159238;Marcus Pestana;SIM;MarcusPestana
74235;Marcus Vicente;SIM;MarcusVicente
64960;Maria Helena;SIM;MariaHelena
178956;Mariana Carvalho;SIM;MarianaCarvalho
178919;Marinaldo Rosendo;SIM;MarinaldoRosendo
74177;Marinha Raupp;SIM;MarinhaRaupp
74749;Mauro Lopes;SIM;MauroLopes
141507;Mauro Mariani;SIM;MauroMariani
124411;Mauro Pereira;SIM;MauroPereira
178827;Max Filho;SIM;MaxFilho
178984;Miguel Haddad;SIM;MiguelHaddad
178985;Miguel Lombardi;SIM;MiguelLombardi
74787;Milton Monti;SIM;MiltonMonti
74862;Miro Teixeira;SIM;MiroTeixeira
74862;Miro Teixeira;SIM;MiroTeixeira
178895;Misael Varella;SIM;MisaelVarella
178859;Moema Gramacho;NAO;MoemaGramacho
74457;Moroni Torgan;SIM;MoroniTorgan
178997;Moses Rodrigues;SIM;MosesRodrigues
160567;Nelson Marchezan Junior;SIM;NelsonMarchezanJunior
73553;Nelson Marquezelli;SIM;NelsonMarquezelli
73781;Nelson Meurer;SIM;NelsonMeurer
178896;Newton Cardoso Jr;SIM;NewtonCardosoJr
74352;Nilson Pinto;SIM;NilsonPinto
74359;Nilton Capixaba;SIM;NiltonCapixaba
178986;Nilto Tatto;NAO;NiltoTatto
178868;Odorico Monteiro;NAO;OdoricoMonteiro
74399;Onyx Lorenzoni;SIM;OnyxLorenzoni
178987;Orlando Silva;NAO;OrlandoSilva
73463;Osmar Serraglio;SIM;OsmarSerraglio
73692;Osmar Terra;SIM;OsmarTerra
141515;Otavio Leite;SIM;OtavioLeite
74319;Paes Landim;NAO;PaesLandim
160642;Pastor Eurico;SIM;PastorEurico
74095;Pauderney Avelino;SIM;PauderneyAvelino
178860;Paulo Azi;SIM;PauloAzi
160517;Paulo Foletto;SIM;PauloFoletto
160558;Paulo Freire;SIM;PauloFreire
132056;Paulo Maluf;SIM;PauloMaluf
141518;Paulo Pereira da Silva;SIM;PauloPereiradaSilva
74400;Paulo Pimenta;NAO;PauloPimenta
141488;Paulo Teixeira;NAO;PauloTeixeira
74812;Pedro Chaves;SIM;PedroChaves
178912;Pedro Cunha Lima;SIM;PedroCunhaLima
74449;Pedro Fernandes;NAO;PedroFernandes
160604;Pedro Uczai;NAO;PedroUczai
178844;Pedro Vilela;SIM;PedroVilela
141445;Pepe Vargas;NAO;PepeVargas
73486;Pompeo de Mattos;ABST;PompeodeMattos
160601;Pr. Marco Feliciano;SIM;Pr.MarcoFeliciano
160641;Professora Marcivania;NAO;ProfessoraMarcivania
178951;Rafael Motta;SIM;RafaelMotta
74216;Raimundo Gomes de Matos;SIM;RaimundoGomesdeMatos
178998;Raquel Muniz;SIM;RaquelMuniz
74161;Reginaldo Lopes;NAO;ReginaldoLopes
178989;Renata Abreu;SIM;RenataAbreu
141527;Renato Molling;SIM;RenatoMolling
160654;Renzo Braz;SIM;RenzoBraz
73788;Ricardo Barros;SIM;RicardoBarros
160655;Ricardo Izar;SIM;RicardoIzar
178920;Ricardo Teobaldo;NAO;RicardoTeobaldo
141472;Ricardo Tripoli;SIM;RicardoTripoli
152610;Roberto Alves;SIM;RobertoAlves
73674;Roberto Balestra;SIM;RobertoBalestra
141529;Roberto Britto;NAO;RobertoBritto
178944;Roberto Sales;SIM;RobertoSales
178840;Rocha;SIM;Rocha
141531;Rodrigo de Castro;SIM;RodrigodeCastro
74693;Rodrigo Maia;SIM;RodrigoMaia
178926;Rodrigo Martins;SIM;RodrigoMartins
178897;Rodrigo Pacheco;SIM;RodrigoPacheco
160515;Ronaldo Benedet;SIM;RonaldoBenedet
