deputado;IMPEACHMENT;nome
Rodrigo Garcia;SIM;RodrigoGarcia
Rodrigo Maia;SIM;RodrigoMaia
Rodrigo Martins;SIM;RodrigoMartins
Rodrigo Pacheco;SIM;RodrigoPacheco
Rogério Marinho;SIM;RogérioMarinho
Rogério Peninha Mendonça;SIM;RogérioPeninhaMendonça
Rogério Rosso;SIM;RogérioRosso
Rômulo Gouveia;SIM;RômuloGouveia
Ronaldo Benedet;SIM;RonaldoBenedet
Ronaldo Carletto;NAO;RonaldoCarletto
Ronaldo Fonseca;SIM;RonaldoFonseca
Ronaldo Lessa;NAO;RonaldoLessa
Ronaldo Martins;SIM;RonaldoMartins
Ronaldo Nogueira;SIM;RonaldoNogueira
Rôney Nemer;SIM;RôneyNemer
Rosangela Gomes;SIM;RosangelaGomes
Rubens Bueno;SIM;RubensBueno
Rubens Otoni;NAO;RubensOtoni
Rubens Pereira Júnior;NAO;RubensPereiraJúnior
Ságuas Moraes;NAO;SáguasMoraes
Samuel Moreira;SIM;SamuelMoreira
Sandro Alex;SIM;SandroAlex
Saraiva Felipe;SIM;SaraivaFelipe
Sarney Filho;SIM;SarneyFilho
Sebastião Oliveira;ABST;SebastiãoOliveira
Sérgio Brito;NAO;SérgioBrito
Sérgio Moraes;SIM;SérgioMoraes
Sérgio Reis;SIM;SérgioReis
Sergio Souza;SIM;SergioSouza
Sergio Vidigal;SIM;SergioVidigal
Sergio Zveiter;SIM;SergioZveiter
Shéridan;SIM;Shéridan
Sibá Machado;NAO;SibáMachado
Silas Câmara;SIM;SilasCâmara
Silvio Costa;NAO;SilvioCosta
Silvio Torres;SIM;SilvioTorres
Simone Morgado;NAO;SimoneMorgado
Soraya Santos;SIM;SorayaSantos
Sóstenes Cavalcante;SIM;SóstenesCavalcante
Stefano Aguiar;SIM;StefanoAguiar
Subtenente Gonzaga;SIM;SubtenenteGonzaga
Tadeu Alencar;SIM;TadeuAlencar
Takayama;SIM;Takayama
Tampinha;SIM;Tampinha
Tenente Lúcio;SIM;TenenteLúcio
Tereza Cristina;SIM;TerezaCristina
Thiago Peixoto;SIM;ThiagoPeixoto
Tia Eron;SIM;TiaEron
Tiririca;SIM;Tiririca
Toninho Pinheiro;SIM;ToninhoPinheiro
Toninho Wandscheer;SIM;ToninhoWandscheer
Uldurico Junior;SIM;UlduricoJunior
Valadares Filho;SIM;ValadaresFilho
Valdir Colatto;SIM;ValdirColatto
Valmir Assunção;NAO;ValmirAssunção
Valmir Prascidelli;NAO;ValmirPrascidelli
Valtenir Pereira;NAO;ValtenirPereira
Vanderlei Macris;SIM;VanderleiMacris
Vander Loubet;NAO;VanderLoubet
Veneziano Vital do Rêgo;SIM;VenezianoVitaldoRêgo
Vicente Arruda;NAO;VicenteArruda
Vicente Candido;NAO;VicenteCandido
Vicentinho;NAO;Vicentinho
Vicentinho Júnior;NAO;VicentinhoJúnior
Victor Mendes;SIM;VictorMendes
Vinicius Carvalho;SIM;ViniciusCarvalho
Vinicius Gurgel;ABST;ViniciusGurgel
Vitor Lippi;SIM;VitorLippi
Vitor Valim;SIM;VitorValim
Wadih Damous;NAO;WadihDamous
Waldenor Pereira;NAO;WaldenorPereira
Waldir Maranhão;NAO;WaldirMaranhão
Walter Alves;SIM;WalterAlves
Washington Reis;SIM;WashingtonReis
Weliton Prado;SIM;WelitonPrado
Wellington Roberto;NAO;WellingtonRoberto
Weverton Rocha;NAO;WevertonRocha
Wilson Filho;SIM;WilsonFilho
Wladimir Costa;SIM;WladimirCosta
Wolney Queiroz;NAO;WolneyQueiroz
Zeca Cavalcanti;NAO;ZecaCavalcanti
Zeca Dirceu;NAO;ZecaDirceu
Zeca do PT;NAO;ZecadoPT
Zé Carlos;NAO;ZéCarlos
Zé Geraldo;NAO;ZéGeraldo
Zenaide Maia;NAO;ZenaideMaia
Zé Silva;SIM;ZéSilva
