nome;id_dep
WalneyRocha;160631
WalterAlves;178952
WalterIhoshi;141560
WashingtonReis;160620
WelitonPrado;160518
WellingtonRoberto;74043
WevertonRocha;167493
WilliamWoo;141563
WilsonFilho;160636
WladimirCosta;73930
WolneyQueiroz;74439
ZecaCavalcanti;178923
ZecaDirceu;160592
ZecadoPt;178902
ZéCarlos;178889
ZéGeraldo;73931
ZenaideMaia;178949
ZéSilva;160632
