id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
187008;SilasFreire;NA;pr;PI;não;sim;sim;sim;sim;sim;não;sim;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NA
NA;sim;NA;não;não votou;;;;;;;;;;não votou;não votou;não votou;7 não votou;não votou;não votou;;;;;NA
NA;sim;NA;não votou;não votou;;;;;;;;;;não votou;não votou;6 não votou;7 não votou;não votou;não votou;;;;;NA
73424;SimaoSessim;NA;pp;RJ;sim;não votou;não votou;não votou;sim;sim;7 não votou;não votou;sim;não votou;sim;não votou;não votou;sim;sim;não votou;não votou;não votou;não votou;NA
160610;ValmirAssuncao;NA;pt;BA;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NA
137853;WadsonRibeiro;NA;pcdob;MG;não;não;sim;não;não;não;não;não;não;sim;não;sim;sim;sim;sim;não;não;sim;não;NA
160631;WalneyRocha;NA;ptb;RJ;sim;não;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;não;sim;sim;NA
141560;WalterIhoshi;NA;psd;SP;não votou;sim;abstção;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;sim;não;não;sim;não;NA
141563;WilliamWoo;NA;pv;SP;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;sim;não votou;não;não votou;não votou;sim;não;não votou;não votou;não votou;não votou;NA
178902;ZecadoPt;NA;pt;MS;não;sim;sim;não;não votou;não votou;não;não;não;não;não;sim;não votou;sim;sim;sim;não;não votou;sim;NA
